geocodes
[57.0462626, 9.9215263]
[56.1496278, 10.2134046]
[57.1482429, -2.0928095]
[24.3964744, 54.5366631]
[33.2588817, -86.8295337]
[40.6789893, -73.4170673]
[52.3745403, 4.8979755]
[33.8347516, -117.911732]
[51.2211097, 4.3997081]
[34.395342, -111.7632755]
[50.291048, 2.7772211]
[37.9839412, 23.7283052]
[33.7490987, -84.3901849]
[-36.852095, 174.7631803]
[13.7542529, 100.493087]
[41.3828939, 2.1774322]
[-19.9227318, -43.9450948]
[52.5170365, 13.3888599]
[41.8505874, -87.7936685]
[43.2630051, -2.9349915]
[52.4796992, -1.9026911]
[4.598481, -74.0765482]
[42.3602534, -71.0582912]
[48.8356649, 2.240206]
[-10.3333333, -53.2]
[48.1516988, 17.1093063]
[-27.4689682, 153.0234991]
[51.4568044, -0.1167959]
[40.6501038, -73.9495823]
[47.4983815, 19.0404707]
[-34.6075682, -58.4370894]
[39.8898861, -0.0843747]
[-31.96267, 115.8954]
[36.7014631, -118.7559974]
[32.555664, -95.8640507]
[51.4816546, -3.1791934]
[31.8129864, 119.9692045]
[26.9013269, -81.9156799]
[41.8755616, -87.6244212]
[39.1014537, -84.5124602]
[41.5051613, -81.6934446]
[38.7251776, -105.6077167]
[41.0389186, -76.4191791]
[55.6867243, 12.5700724]
[53.86878, 8.698286]
[32.7762719, -96.7968559]
[32.9594891, -117.2653146]
[42.3315509, -83.0466403]
[25.2856329, 51.5264162]
[25.0750095, 55.1887609]
[53.3497645, -6.2602732]
[-45.8740984, 170.5035755]
[51.2254018, 6.7763137]
[51.4485569, 5.4501225]
[43.7698712, 11.2555757]
[27.7567667, -81.4639835]
[50.1106444, 8.6820917]
[47.5561915, 8.8963347]
[49.1469437, 6.8184829]
[54.5164982, 18.5402738]
[32.3293809, -83.1137366]
[-38.6492433, 143.3682758]
[55.8609825, -4.2488787]
[57.7072326, 11.9670171]
[42.9632405, -85.6678639]
[53.2217925, 6.5582453]
[53.550341, 10.000654]
[41.1586455, -101.0023673]
[22.350627, 114.1849161]
[29.7589382, -95.3676974]
[23.1060862, 114.4141105]
[40.0796606, -89.4337288]
[44.3535145, 11.7141233]
[39.7683331, -86.1583502]
[33.9562003, -118.353132]
[-6.1753942, 106.827183]
[39.1134562, -94.626497]
[46.6228162, 14.3079604]
[50.0619474, 19.9368564]
[-34.9206797, -57.9537638]
[50.9024566, 6.0293103]
[35.5939325, -105.2238969]
[46.5218269, 6.6327025]
[51.3406321, 12.3747329]
[-12.0621065, -77.0365256]
[38.7077507, -9.1365919]
[51.5073219, -0.1276474]
[34.0536909, -118.2427666]
[45.7578137, 4.8320114]
[30.9551586, -95.9507234]
[40.4167047, -3.7035825]
[45.709097, -68.8590201]
[53.4794892, -2.2451148]
[14.5688734, 121.0138029]
[14.5906216, 120.9799696]
[49.489591, 8.467236]
[42.3788774, -72.032366]
[-37.8142176, 144.9631608]
[50.8235683, 10.116702]
[19.4326296, -99.1331785]
[43.6211955, -84.6824346]
[45.4668, 9.1905]
[44.9772995, -93.2654692]
[45.9896587, -94.6113288]
[53.902334, 27.5618791]
[38.7604815, -92.5617875]
[51.1946983, 6.4353641]
[25.6802019, -100.3152586]
[45.4972159, -73.6103642]
[46.4280033, -90.2460097]
[18.9387711, 72.8353355]
[48.1371079, 11.5753822]
[35.1851045, 136.8998438]
[46.769379, 23.5899542]
[39.5158825, -116.8537227]
[43.4849133, -71.6553992]
[29.9499323, -90.0701156]
[-31.8759835, 147.2869493]
[40.7127281, -74.0060152]
[40.7127281, -74.0060152]
[40.735657, -74.1723667]
[47.9403019, 17.0661763]
[43.8374249, 4.3600687]
[35.6729639, -79.0392919]
[-22.2745264, 166.442419]
[37.8044557, -122.2713563]
[34.9550817, -97.2684063]
[41.2587459, -95.9383758]
[43.9792797, -120.737257]
[34.6198813, 135.490357]
[59.9133301, 10.7389701]
[49.8349139, 18.2820084]
[65.0118734, 25.4716809]
[48.6943, 5.8447]
[-17.5373835, -149.5659964]
[48.8566969, 2.3514616]
[40.9699889, -77.7278831]
[-36.9111443, 174.8147813]
[39.9527237, -75.1635262]
[33.9830688, -118.096735]
[40.4416941, -79.9900861]
[20.6308643, -87.0779503]
[-30.0324999, -51.2303767]
[50.0874654, 14.4212535]
[52.4760892, -71.8258668]
[-22.1646782, 144.5844903]
[-8.0641931, -34.8781517]
[-22.9110137, -43.2093727]
[24.6319692, 46.7150648]
[41.9941334, -87.8756737]
[50.9514713, 4.7094054]
[35.8616402, 139.6457957]
[53.6563082, 10.8253152]
[37.7790262, -122.4199061]
[-34.4739792, -58.5264866]
[9.9325427, -84.0795782]
[-33.4377968, -70.6504451]
[18.2534658, 109.5034392]
[-23.5506507, -46.6333824]
[-23.5506507, -46.6333824]
[53.1667961, 9.4840648]
[47.6038321, -122.3300624]
[37.5666791, 126.9782914]
[37.3886303, -5.9953403]
[46.2302151, 7.3637052]
[56.0351868, 9.9317878]
[47.5138206, 6.8303896]
[33.6874388, -80.4363743]
[47.4250593, 9.3765878]
[38.6268039, -90.1994097]
[59.3251172, 18.0710935]
[-33.8548157, 151.2164539]
[25.0375198, 121.5636796]
[31.8160381, -99.5120986]
[43.6534817, -79.3839347]
[41.9050213, -90.8640346]
[60.4517531, 22.2670522]
[40.7003793, -73.5929056]
[39.4225192, -111.7143584]
[49.2608724, -123.1139529]
[-36.5986096, 144.6780052]
[48.2083537, 16.3725042]
[52.2319581, 21.0067249]
[38.8949855, -77.0365708]
[-41.2887953, 174.7772114]
[50.9701533, 4.6933645]
[-37.8104475, 144.9204298]
[51.5428858, 0.6859213]
[12.11721, -68.91964]
[42.317099, -83.0353434]
[-7.8011945, 110.364917]
[41.6521342, -0.8809428]
[47.3723941, 8.5423328]aaaaaaaa
